TA_site	BHI	Serum	HSerum
tig00000001:658-660	0	0	0
tig00000001:661-663	0	0	0
tig00000001:672-674	0	0	0
tig00000001:675-677	0	0	0
tig00000001:680-682	0	0	0
tig00000001:693-695	0	0	0
tig00000001:722-724	0	0	0
tig00000001:724-726	0	0	0
tig00000001:743-745	0	0	0
tig00000001:761-763	0	0	0
tig00000001:768-770	0	0	0
tig00000001:794-796	0	0	0
tig00000001:815-817	0	0	0
tig00000001:817-819	0	0	0
tig00000001:824-826	0	0	0
tig00000001:838-840	0	0	0
tig00000001:843-845	0	0	0
tig00000001:849-851	0	0	0
tig00000001:858-860	0	0	0
tig00000001:861-863	0	0	0
tig00000001:874-876	0	0	0
tig00000001:876-878	0	0	0
tig00000001:878-880	0	0	0
tig00000001:881-883	0	0	0
tig00000001:904-906	0	0	0
tig00000001:930-932	0	0	0
tig00000001:949-951	0	0	0
tig00000001:968-970	0	0	0
tig00000001:970-972	0	0	0
tig00000001:975-977	0	0	0
tig00000001:983-985	0	0	0
tig00000001:991-993	0	0	0
tig00000001:1061-1063	0	0	0
tig00000001:1069-1071	0	0	0
tig00000001:1077-1079	0	0	0
tig00000001:1090-1092	0	0	0
tig00000001:1103-1105	0	0	0
tig00000001:1131-1133	0	0	0
tig00000001:1137-1139	0	0	0
tig00000001:1162-1164	0	0	0
tig00000001:1184-1186	0	0	0
tig00000001:1192-1194	0	0	0
tig00000001:1198-1200	0	0	0
tig00000001:1207-1209	0	0	0
tig00000001:1239-1241	0	0	0
tig00000001:1244-1246	0	0	0
tig00000001:1254-1256	0	0	0
tig00000001:1262-1264	0	0	0
tig00000001:1269-1271	0	0	0
tig00000001:1288-1290	0	0	0
tig00000001:1295-1297	0	0	0
tig00000001:1297-1299	0	0	0
tig00000001:1301-1303	0	0	0
tig00000001:1307-1309	0	0	0
tig00000001:1317-1319	0	0	0
tig00000001:1321-1323	0	0	0
tig00000001:1327-1329	0	0	0
tig00000001:1332-1334	0	0	0
tig00000001:1373-1375	0	0	0
tig00000001:1385-1387	0	0	0
tig00000001:1389-1391	0	0	0
tig00000001:1399-1401	0	0	0
tig00000001:1405-1407	0	0	0
tig00000001:1414-1416	0	0	0
tig00000001:1422-1424	0	0	0
tig00000001:1425-1427	0	0	0
tig00000001:1427-1429	0	0	0
tig00000001:1432-1434	0	0	0
tig00000001:1434-1436	0	0	0
tig00000001:1442-1444	0	0	0
tig00000001:1451-1453	0	0	0
tig00000001:1466-1468	0	0	0
tig00000001:1474-1476	0	0	0
tig00000001:1478-1480	0	0	0
tig00000001:1480-1482	0	0	0
tig00000001:1482-1484	0	0	0
tig00000001:1485-1487	0	0	0
tig00000001:1500-1502	0	0	0
tig00000001:1510-1512	0	0	0
tig00000001:1523-1525	0	0	0
tig00000001:1535-1537	0	0	0
tig00000001:1554-1556	0	0	0
tig00000001:1569-1571	0	0	0
tig00000001:1600-1602	0	0	0
tig00000001:1615-1617	0	0	0
tig00000001:1621-1623	0	0	0
tig00000001:1634-1636	0	0	0
tig00000001:1644-1646	0	0	0
tig00000001:1657-1659	0	0	0
tig00000001:1723-1725	0	0	0
tig00000001:1798-1800	0	0	0
tig00000001:1809-1811	0	0	0
tig00000001:1824-1826	0	0	0
tig00000001:1832-1834	0	0	0
tig00000001:1854-1856	0	0	0
tig00000001:1857-1859	0	0	0
tig00000001:1877-1879	0	0	0
tig00000001:1891-1893	0	0	0
tig00000001:1895-1897	0	0	0
tig00000001:1909-1911	0	0	0
tig00000001:1916-1918	0	0	0
tig00000001:1956-1958	0	0	0
tig00000001:1978-1980	0	0	0
tig00000001:1987-1989	0	0	0
tig00000001:2008-2010	0	0	0
tig00000001:2010-2012	0	0	0
tig00000001:2013-2015	0	0	0
tig00000001:2039-2041	0	0	0
tig00000001:2049-2051	0	0	0
tig00000001:2088-2090	0	0	0
tig00000001:2105-2107	0	0	0
tig00000001:2143-2145	0	0	0
tig00000001:2164-2166	0	0	0
tig00000001:2185-2187	0	0	0
tig00000001:2194-2196	0	0	0
tig00000001:2225-2227	0	0	0
tig00000001:2236-2238	0	0	0
tig00000001:2276-2278	0	0	0
tig00000001:2279-2281	0	0	0
tig00000001:2316-2318	0	0	0
tig00000001:2330-2332	0	0	0
tig00000001:2343-2345	0	0	0
tig00000001:2351-2353	0	0	0
tig00000001:2357-2359	0	0	0
tig00000001:2362-2364	0	0	0
tig00000001:2411-2413	0	0	0
tig00000001:2431-2433	0	0	0
tig00000001:2436-2438	0	0	0
tig00000001:2438-2440	0	0	0
tig00000001:2441-2443	0	0	0
tig00000001:2443-2445	0	0	0
tig00000001:2456-2458	0	0	0
tig00000001:2483-2485	0	0	0
tig00000001:2489-2491	0	0	0
tig00000001:2494-2496	0	0	0
tig00000001:2500-2502	0	0	0
tig00000001:2503-2505	0	0	0
tig00000001:2553-2555	0	0	0
tig00000001:2559-2561	0	0	0
tig00000001:2636-2638	0	0	0
tig00000001:2644-2646	0	0	0
tig00000001:2664-2666	0	0	0
tig00000001:2667-2669	0	0	0
tig00000001:2671-2673	0	0	0
tig00000001:2687-2689	0	0	0
tig00000001:2694-2696	0	0	0
tig00000001:2719-2721	0	0	0
tig00000001:2722-2724	0	0	0
tig00000001:2732-2734	0	0	0
tig00000001:2738-2740	0	0	0
tig00000001:2744-2746	0	0	0
tig00000001:2747-2749	0	0	0
tig00000001:2764-2766	0	0	0
tig00000001:2772-2774	0	0	0
tig00000001:2798-2800	0	0	0
tig00000001:2805-2807	0	0	0
tig00000001:2810-2812	0	0	0
tig00000001:2823-2825	0	0	0
tig00000001:2861-2863	0	0	0
tig00000001:2890-2892	0	0	0
tig00000001:2921-2923	0	0	0
tig00000001:2943-2945	0	0	0
tig00000001:2949-2951	0	0	0
tig00000001:2954-2956	0	0	0
tig00000001:2982-2984	0	0	0
tig00000001:2987-2989	0	0	0
tig00000001:2990-2992	0	0	0
tig00000001:3018-3020	0	0	0
tig00000001:3030-3032	0	0	0
tig00000001:3045-3047	0	0	0
tig00000001:3077-3079	0	0	0
tig00000001:3097-3099	0	0	0
tig00000001:3129-3131	0	0	0
tig00000001:3159-3161	0	0	0
tig00000001:3191-3193	0	0	0
tig00000001:3213-3215	0	0	0
tig00000001:3222-3224	0	0	0
tig00000001:3240-3242	0	0	0
tig00000001:3259-3261	0	0	0
tig00000001:3294-3296	0	0	0
tig00000001:3308-3310	0	0	0
tig00000001:3315-3317	0	0	0
tig00000001:3320-3322	0	0	0
tig00000001:3341-3343	0	0	0
tig00000001:3368-3370	0	0	0
tig00000001:3379-3381	0	0	0
tig00000001:3385-3387	0	0	0
tig00000001:3417-3419	0	0	0
tig00000001:3428-3430	0	0	0
tig00000001:3487-3489	0	0	0
tig00000001:3514-3516	1	1	1
tig00000001:3522-3524	2	2	2
tig00000001:3528-3530	2	2	2
tig00000001:3541-3543	2	2	2
tig00000001:3571-3573	0	0	2
tig00000001:3593-3595	0	0	2
tig00000001:3630-3632	0	0	0
tig00000001:3648-3650	0	0	0
tig00000001:3681-3683	0	0	0
tig00000001:3689-3691	0	0	0
tig00000001:3704-3706	0	0	0
tig00000001:3751-3753	0	0	0
tig00000001:3776-3778	0	0	0
tig00000001:3778-3780	0	0	0
tig00000001:3782-3784	0	0	0
tig00000001:3788-3790	0	0	0
tig00000001:3807-3809	0	2	0
tig00000001:3815-3817	0	2	0
tig00000001:3818-3820	0	2	0
tig00000001:3826-3828	0	2	0
tig00000001:3836-3838	0	2	0
tig00000001:3841-3843	0	0	0
tig00000001:3899-3901	0	0	0
tig00000001:3905-3907	0	0	0
tig00000001:3910-3912	0	0	0
tig00000001:3933-3935	0	0	0
tig00000001:3950-3952	0	0	0
tig00000001:3969-3971	0	0	0
tig00000001:3982-3984	0	0	0
tig00000001:3986-3988	0	0	0
tig00000001:4004-4006	0	0	0
tig00000001:4010-4012	0	0	0
tig00000001:4028-4030	0	0	0
tig00000001:4052-4054	0	0	0
tig00000001:4064-4066	0	0	0
tig00000001:4076-4078	0	0	0
tig00000001:4086-4088	0	0	0
tig00000001:4109-4111	0	0	0
tig00000001:4115-4117	0	0	0
tig00000001:4126-4128	0	0	0
tig00000001:4157-4159	0	0	0
tig00000001:4168-4170	0	0	0
tig00000001:4180-4182	0	0	0
tig00000001:4207-4209	0	0	0
tig00000001:4223-4225	0	0	0
tig00000001:4292-4294	0	0	0
tig00000001:4328-4330	0	0	0
tig00000001:4357-4359	0	0	0
tig00000001:4362-4364	0	0	0
tig00000001:4399-4401	0	0	0
tig00000001:4457-4459	0	0	0
tig00000001:4471-4473	0	0	0
tig00000001:4486-4488	0	0	0
tig00000001:4495-4497	0	0	0
tig00000001:4528-4530	0	0	0
tig00000001:4542-4544	0	0	0
tig00000001:4549-4551	0	0	0
tig00000001:4570-4572	0	0	0
tig00000001:4597-4599	0	0	0
tig00000001:4607-4609	0	0	0
tig00000001:4616-4618	0	0	0
tig00000001:4645-4647	0	0	0
tig00000001:4648-4650	0	0	0
tig00000001:4662-4664	0	0	0
tig00000001:4669-4671	0	0	0
tig00000001:4693-4695	0	0	0
tig00000001:4698-4700	0	0	0
tig00000001:4709-4711	0	0	0
tig00000001:4738-4740	0	0	0
tig00000001:4774-4776	0	0	0
tig00000001:4787-4789	0	0	0
tig00000001:4790-4792	0	0	0
tig00000001:4792-4794	0	0	0
tig00000001:4797-4799	0	0	0
tig00000001:4816-4818	0	0	0
tig00000001:4823-4825	0	0	0
tig00000001:4839-4841	0	0	0
tig00000001:4845-4847	0	0	0
tig00000001:4866-4868	0	0	0
tig00000001:4876-4878	0	0	0
tig00000001:4887-4889	0	0	0
tig00000001:4893-4895	0	0	0
tig00000001:4905-4907	0	0	0
tig00000001:4944-4946	0	0	0
tig00000001:4961-4963	0	0	0
tig00000001:4975-4977	0	0	0
tig00000001:4977-4979	0	0	0
tig00000001:5000-5002	0	0	0
tig00000001:5002-5004	0	0	0
tig00000001:5016-5018	0	0	0
tig00000001:5019-5021	0	0	0
tig00000001:5021-5023	0	0	0
tig00000001:5035-5037	0	0	0
tig00000001:5049-5051	0	0	0
tig00000001:5060-5062	0	0	0
tig00000001:5062-5064	0	0	0
tig00000001:5078-5080	0	0	0
tig00000001:5081-5083	0	0	0
tig00000001:5093-5095	0	0	0
tig00000001:5100-5102	0	0	0
tig00000001:5105-5107	0	0	0
tig00000001:5127-5129	0	0	0
tig00000001:5131-5133	0	0	0
tig00000001:5148-5150	0	0	0
tig00000001:5166-5168	0	0	0
tig00000001:5171-5173	0	0	0
tig00000001:5186-5188	0	0	0
tig00000001:5195-5197	0	0	0
tig00000001:5201-5203	0	0	0
tig00000001:5232-5234	0	0	0
tig00000001:5244-5246	0	0	0
tig00000001:5282-5284	0	0	0
tig00000001:5300-5302	0	0	0
tig00000001:5317-5319	0	0	0
tig00000001:5352-5354	2	2	0
tig00000001:5375-5377	2	2	0
tig00000001:5386-5388	2	2	0
tig00000001:5426-5428	0	0	0
tig00000001:5469-5471	0	0	0
tig00000001:5474-5476	0	0	0
tig00000001:5501-5503	0	0	0
tig00000001:5530-5532	0	0	0
tig00000001:5544-5546	0	0	0
tig00000001:5559-5561	0	0	0
tig00000001:5577-5579	0	0	0
tig00000001:5596-5598	0	0	0
tig00000001:5601-5603	0	0	0
tig00000001:5631-5633	0	0	0
tig00000001:5652-5654	0	0	0
tig00000001:5656-5658	0	0	0
tig00000001:5658-5660	0	0	0
tig00000001:5694-5696	0	0	0
tig00000001:5724-5726	0	0	0
tig00000001:5734-5736	0	0	0
tig00000001:5748-5750	0	0	0
tig00000001:5757-5759	0	0	0
tig00000001:5772-5774	0	0	0
tig00000001:5779-5781	0	0	0
tig00000001:5816-5818	0	0	0
tig00000001:5833-5835	0	0	0
tig00000001:5845-5847	0	0	0
tig00000001:5856-5858	0	0	0
tig00000001:5895-5897	0	0	0
tig00000001:5905-5907	0	0	0
tig00000001:5916-5918	0	0	0
tig00000001:5972-5974	0	0	0
tig00000001:5975-5977	0	0	0
tig00000001:5988-5990	0	0	0
tig00000001:6004-6006	0	0	0
tig00000001:6013-6015	0	0	0
tig00000001:6022-6024	0	0	0
tig00000001:6031-6033	0	0	0
tig00000001:6033-6035	0	0	0
tig00000001:6035-6037	0	0	0
tig00000001:6045-6047	0	0	0
tig00000001:6049-6051	0	0	0
tig00000001:6055-6057	0	0	0
tig00000001:6075-6077	0	0	0
tig00000001:6093-6095	0	0	0
tig00000001:6124-6126	0	0	0
tig00000001:6143-6145	0	0	0
tig00000001:6160-6162	0	0	0
tig00000001:6166-6168	0	0	0
tig00000001:6190-6192	0	0	0
tig00000001:6197-6199	0	0	0
tig00000001:6202-6204	0	0	0
tig00000001:6218-6220	0	0	0
tig00000001:6221-6223	0	0	0
tig00000001:6226-6228	0	0	0
tig00000001:6237-6239	0	0	0
tig00000001:6242-6244	0	0	0
tig00000001:6250-6252	0	0	0
tig00000001:6258-6260	0	0	0
tig00000001:6271-6273	0	0	0
tig00000001:6273-6275	0	0	0
tig00000001:6280-6282	0	0	0
tig00000001:6282-6284	0	0	0
tig00000001:6293-6295	0	0	0
tig00000001:6299-6301	0	0	0
tig00000001:6304-6306	0	0	0
tig00000001:6317-6319	0	0	0
tig00000001:6333-6335	0	0	0
tig00000001:6346-6348	0	0	0
tig00000001:6353-6355	0	0	0
tig00000001:6384-6386	0	0	0
tig00000001:6389-6391	0	0	0
tig00000001:6392-6394	0	0	0
tig00000001:6397-6399	0	0	0
tig00000001:6422-6424	0	0	0
tig00000001:6447-6449	0	0	0
tig00000001:6468-6470	0	0	0
tig00000001:6474-6476	0	0	0
tig00000001:6479-6481	0	0	0
tig00000001:6521-6523	0	0	0
tig00000001:6534-6536	0	0	0
tig00000001:6536-6538	0	0	0
tig00000001:6570-6572	0	0	0
tig00000001:6579-6581	0	0	0
tig00000001:6616-6618	0	0	0
tig00000001:6625-6627	0	0	0
tig00000001:6638-6640	0	0	0
tig00000001:6644-6646	0	0	0
tig00000001:6654-6656	0	0	0
tig00000001:6667-6669	0	0	0
tig00000001:6675-6677	0	0	0
tig00000001:6681-6683	0	0	0
tig00000001:6683-6685	0	0	0
tig00000001:6705-6707	0	0	0
tig00000001:6727-6729	0	0	0
tig00000001:6735-6737	0	0	0
tig00000001:6772-6774	0	0	0
tig00000001:6783-6785	0	0	0
tig00000001:6792-6794	0	0	0
tig00000001:6795-6797	0	0	0
tig00000001:6813-6815	0	0	0
tig00000001:6816-6818	0	0	0
tig00000001:6818-6820	0	0	0
tig00000001:6825-6827	0	0	0
tig00000001:6833-6835	0	0	0
tig00000001:6836-6838	0	0	0
tig00000001:6840-6842	0	0	0
tig00000001:6842-6844	0	0	0
tig00000001:6852-6854	0	0	0
tig00000001:6904-6906	0	0	0
tig00000001:6916-6918	0	0	0
tig00000001:6924-6926	0	0	0
tig00000001:6926-6928	0	0	0
tig00000001:6936-6938	0	0	0
tig00000001:6940-6942	0	0	0
tig00000001:6946-6948	0	0	0
tig00000001:6949-6951	0	0	0
tig00000001:6958-6960	0	0	0
tig00000001:6963-6965	0	0	0
tig00000001:6989-6991	0	0	0
tig00000001:7026-7028	0	0	0
tig00000001:7035-7037	0	0	0
tig00000001:7037-7039	0	0	0
tig00000001:7067-7069	0	0	0
tig00000001:7080-7082	2	0	0
tig00000001:7099-7101	2	0	0
tig00000001:7108-7110	2	0	0
tig00000001:7116-7118	2	0	0
tig00000001:7139-7141	0	0	0
tig00000001:7151-7153	0	0	0
tig00000001:7170-7172	0	0	0
tig00000001:7175-7177	0	0	0
tig00000001:7196-7198	0	0	0
tig00000001:7213-7215	0	0	0
tig00000001:7221-7223	0	0	0
tig00000001:7225-7227	0	0	0
tig00000001:7229-7231	0	0	0
tig00000001:7247-7249	0	0	0
tig00000001:7272-7274	0	0	0
tig00000001:7279-7281	0	0	0
tig00000001:7316-7318	0	0	0
tig00000001:7322-7324	0	0	0
tig00000001:7329-7331	0	0	0
tig00000001:7333-7335	0	0	0
tig00000001:7352-7354	0	0	0
tig00000001:7379-7381	0	0	0
tig00000001:7384-7386	0	0	0
tig00000001:7407-7409	0	0	0
tig00000001:7421-7423	0	0	0
tig00000001:7443-7445	0	0	0
tig00000001:7451-7453	0	0	0
tig00000001:7454-7456	0	0	0
tig00000001:7472-7474	0	0	0
tig00000001:7478-7480	0	0	0
tig00000001:7483-7485	0	0	0
tig00000001:7493-7495	0	0	0
tig00000001:7518-7520	0	0	0
tig00000001:7537-7539	0	0	0
tig00000001:7545-7547	0	0	0
tig00000001:7550-7552	0	0	0
tig00000001:7567-7569	0	0	0
tig00000001:7572-7574	0	0	0
tig00000001:7593-7595	0	0	0
tig00000001:7606-7608	0	0	0
tig00000001:7690-7692	0	0	0
tig00000001:7736-7738	0	0	0
tig00000001:7743-7745	0	0	0
tig00000001:7758-7760	0	0	0
tig00000001:7794-7796	0	0	0
tig00000001:7796-7798	0	0	0
tig00000001:7825-7827	0	0	0
tig00000001:7833-7835	0	0	0
tig00000001:7835-7837	0	0	0
tig00000001:7854-7856	0	0	0
tig00000001:7889-7891	0	0	0
tig00000001:7900-7902	0	0	0
tig00000001:7904-7906	0	0	0
tig00000001:7912-7914	0	0	0
tig00000001:7923-7925	0	0	0
tig00000001:7964-7966	0	0	0
tig00000001:7982-7984	0	0	0
tig00000001:8009-8011	0	0	0
tig00000001:8021-8023	0	0	0
tig00000001:8073-8075	0	0	0
tig00000001:8097-8099	0	0	0
tig00000001:8104-8106	0	0	0
tig00000001:8109-8111	0	0	0
tig00000001:8190-8192	0	0	2
tig00000001:8193-8195	0	0	2
tig00000001:8207-8209	0	0	2
tig00000001:8219-8221	0	0	0
tig00000001:8263-8265	0	0	0
tig00000001:8278-8280	0	0	0
tig00000001:8295-8297	0	0	0
tig00000001:8318-8320	0	0	0
tig00000001:8321-8323	0	0	0
tig00000001:8360-8362	0	0	0
tig00000001:8379-8381	0	0	0
tig00000001:8381-8383	0	0	0
tig00000001:8391-8393	0	0	0
tig00000001:8403-8405	0	0	0
tig00000001:8405-8407	0	0	0
tig00000001:8422-8424	0	0	0
tig00000001:8425-8427	0	0	0
tig00000001:8433-8435	0	0	0
tig00000001:8442-8444	0	0	0
tig00000001:8451-8453	0	0	0
tig00000001:8460-8462	0	0	0
tig00000001:8465-8467	0	0	0
tig00000001:8503-8505	0	0	0
tig00000001:8507-8509	0	0	0
tig00000001:8533-8535	0	0	0
tig00000001:8542-8544	0	0	0
tig00000001:8545-8547	0	0	0
tig00000001:8568-8570	0	0	0
tig00000001:8590-8592	0	0	0
tig00000001:8592-8594	0	0	0
tig00000001:8604-8606	0	0	0
tig00000001:8626-8628	0	0	0
tig00000001:8654-8656	0	0	0
tig00000001:8667-8669	0	0	0
tig00000001:8677-8679	0	0	0
tig00000001:8682-8684	0	0	0
tig00000001:8685-8687	0	0	0
tig00000001:8688-8690	0	0	0
tig00000001:8696-8698	0	0	0
tig00000001:8698-8700	0	0	0
tig00000001:8722-8724	0	0	0
tig00000001:8735-8737	0	0	0
tig00000001:8747-8749	0	0	0
tig00000001:8771-8773	0	0	0
tig00000001:8783-8785	0	0	0
tig00000001:8795-8797	0	0	0
tig00000001:8797-8799	0	0	0
tig00000001:8815-8817	0	0	0
tig00000001:8838-8840	0	0	0
tig00000001:8844-8846	0	0	0
tig00000001:8879-8881	0	0	0
tig00000001:8943-8945	0	0	0
tig00000001:8965-8967	0	0	0
tig00000001:8978-8980	0	0	0
tig00000001:8982-8984	0	0	0
tig00000001:8995-8997	0	0	0
tig00000001:9012-9014	0	0	0
tig00000001:9109-9111	0	0	0
tig00000001:9112-9114	0	0	0
tig00000001:9124-9126	0	0	0
tig00000001:9126-9128	0	0	0
tig00000001:9170-9172	0	0	0
tig00000001:9173-9175	0	0	0
tig00000001:9182-9184	0	0	0
tig00000001:9200-9202	0	0	0
tig00000001:9202-9204	0	0	0
tig00000001:9213-9215	0	0	0
tig00000001:9215-9217	0	0	0
tig00000001:9231-9233	0	0	0
tig00000001:9257-9259	0	0	0
tig00000001:9270-9272	0	0	0
tig00000001:9278-9280	0	0	0
tig00000001:9303-9305	0	0	0
tig00000001:9329-9331	0	0	0
tig00000001:9360-9362	0	0	0
tig00000001:9375-9377	0	0	0
tig00000001:9389-9391	0	0	0
tig00000001:9393-9395	0	0	0
tig00000001:9405-9407	0	0	0
tig00000001:9423-9425	0	0	0
tig00000001:9438-9440	0	0	0
tig00000001:9450-9452	0	0	0
tig00000001:9493-9495	0	0	0
tig00000001:9497-9499	0	0	0
tig00000001:9499-9501	0	0	0
tig00000001:9561-9563	0	0	0
tig00000001:9576-9578	0	0	0
tig00000001:9640-9642	0	0	0
tig00000001:9648-9650	0	0	0
tig00000001:9656-9658	0	0	0
tig00000001:9665-9667	0	0	0
tig00000001:9687-9689	0	0	0
tig00000001:9689-9691	0	0	0
tig00000001:9702-9704	0	0	0
tig00000001:9730-9732	0	0	0
tig00000001:9750-9752	0	0	0
tig00000001:9761-9763	0	0	0
tig00000001:9781-9783	0	0	0
tig00000001:9790-9792	0	0	0
tig00000001:9795-9797	0	0	0
tig00000001:9810-9812	0	0	0
tig00000001:9814-9816	0	0	0
tig00000001:9823-9825	0	0	0
tig00000001:9846-9848	0	0	0
tig00000001:9915-9917	0	0	0
tig00000001:9917-9919	0	0	0
tig00000001:9949-9951	0	0	0
tig00000001:9957-9959	0	0	0
tig00000001:9968-9970	0	0	0
tig00000001:9986-9988	0	0	0
tig00000001:9994-9996	0	0	0
tig00000001:10000-10002	0	0	0
tig00000001:10007-10009	0	0	0
tig00000001:10035-10037	0	0	0
tig00000001:10048-10050	0	0	0
tig00000001:10050-10052	0	0	0
tig00000001:10060-10062	0	0	0
tig00000001:10084-10086	0	0	0
tig00000001:10107-10109	0	0	0
tig00000001:10110-10112	0	0	0
tig00000001:10149-10151	0	0	0
tig00000001:10172-10174	0	0	0
tig00000001:10200-10202	0	0	0
tig00000001:10219-10221	0	0	0
tig00000001:10248-10250	0	0	0
tig00000001:10251-10253	0	0	0
tig00000001:10255-10257	0	0	0
tig00000001:10264-10266	0	0	0
tig00000001:10269-10271	0	0	0
tig00000001:10293-10295	0	0	0
tig00000001:10307-10309	0	0	0
tig00000001:10319-10321	0	0	0
tig00000001:10332-10334	0	0	0
tig00000001:10344-10346	0	0	0
tig00000001:10347-10349	0	0	0
tig00000001:10351-10353	0	0	0
tig00000001:10360-10362	0	0	0
tig00000001:10377-10379	0	0	0
tig00000001:10386-10388	0	0	0
tig00000001:10401-10403	0	0	0
tig00000001:10419-10421	0	0	0
tig00000001:10431-10433	0	0	0
tig00000001:10435-10437	0	0	0
tig00000001:10441-10443	0	0	0
tig00000001:10453-10455	0	0	0
tig00000001:10484-10486	0	0	0
tig00000001:10498-10500	0	0	0
tig00000001:10519-10521	0	0	0
tig00000001:10536-10538	0	0	0
tig00000001:10546-10548	0	0	0
tig00000001:10582-10584	0	0	0
tig00000001:10612-10614	0	0	0
tig00000001:10615-10617	0	0	0
tig00000001:10618-10620	0	0	0
tig00000001:10642-10644	0	0	0
tig00000001:10681-10683	0	0	0
tig00000001:10698-10700	0	0	0
tig00000001:10711-10713	0	0	0
tig00000001:10731-10733	0	0	0
tig00000001:10756-10758	0	0	0
tig00000001:10764-10766	0	0	0
tig00000001:10767-10769	0	0	0
tig00000001:10781-10783	0	0	0
tig00000001:10800-10802	0	0	0
tig00000001:10822-10824	0	0	0
tig00000001:10825-10827	0	0	0
tig00000001:10844-10846	0	0	0
tig00000001:10869-10871	0	0	0
tig00000001:10871-10873	0	0	0
tig00000001:10884-10886	0	0	0
tig00000001:10906-10908	0	0	0
tig00000001:10952-10954	0	0	0
tig00000001:10954-10956	0	0	0
tig00000001:10958-10960	0	0	0
tig00000001:11008-11010	0	0	0
tig00000001:11032-11034	0	0	0
tig00000001:11041-11043	0	0	0
tig00000001:11060-11062	0	0	0
tig00000001:11068-11070	0	0	0
tig00000001:11083-11085	0	0	0
tig00000001:11109-11111	0	0	0
tig00000001:11113-11115	0	0	0
tig00000001:11132-11134	0	0	0
tig00000001:11134-11136	0	0	0
tig00000001:11138-11140	0	0	0
tig00000001:11149-11151	0	0	0
tig00000001:11156-11158	0	0	0
tig00000001:11160-11162	0	0	0
tig00000001:11164-11166	0	0	0
tig00000001:11184-11186	0	0	0
tig00000001:11221-11223	0	0	0
tig00000001:11233-11235	0	0	0
tig00000001:11246-11248	0	0	0
tig00000001:11257-11259	0	0	0
tig00000001:11279-11281	0	0	0
tig00000001:11281-11283	0	0	0
tig00000001:11289-11291	0	0	0
tig00000001:11296-11298	0	0	0
tig00000001:11300-11302	0	0	0
tig00000001:11302-11304	0	0	0
tig00000001:11356-11358	0	0	0
tig00000001:11358-11360	0	0	0
tig00000001:11363-11365	0	0	0
tig00000001:11392-11394	0	0	0
tig00000001:11403-11405	0	0	0
tig00000001:11421-11423	0	0	0
tig00000001:11424-11426	0	0	0
tig00000001:11436-11438	0	0	0
tig00000001:11438-11440	0	0	0
tig00000001:11455-11457	0	0	0
tig00000001:11471-11473	0	0	0
tig00000001:11490-11492	0	0	0
tig00000001:11505-11507	0	0	0
tig00000001:11510-11512	0	0	0
tig00000001:11521-11523	0	0	0
tig00000001:11542-11544	0	0	0
tig00000001:11559-11561	0	0	0
tig00000001:11581-11583	0	0	0
tig00000001:11586-11588	0	0	0
tig00000001:11599-11601	0	0	0
tig00000001:11683-11685	0	0	0
tig00000001:11701-11703	0	0	0
tig00000001:11703-11705	0	0	0
tig00000001:11742-11744	0	0	0
tig00000001:11758-11760	0	0	0
tig00000001:11760-11762	0	0	0
tig00000001:11766-11768	0	0	0
